ID,SPID
72882553,72882555
208195163,213842282
106362865,127524527
10397241,10397242
39523655,39523656
57870426,57870427
179735872,179735873
48752755,58367744
809630,809806
10095276,10095277
91663267,91663268
48513049,48513050
191506179,191506180
121635152,121635153
16631728,16631729
167685123,167685125
121635152,121635153
7718737,7718738
185909450,185909451
183930334,222575798
100289392,195862094
44433397,44433399
271218076,271218077
251769250,251769251
242087708,242087709
3737963,3738175
208195163,213842282
5412667,273600540
271828182,271828183
48659055,48659056
95039297,213844296
198724915,198724916
104269229,104269230
5067169,5411143
48323805,48323806
76531748,76531749
7435647,54756757
113530805,113530807
138143167,138488350
54683089,214185673
27605626,79561021
10397241,35040948
2120667,2125827
90135265,90135266
155618879,204218346
104741661,104741664
110694737,113084066
206479088,206479089
147415616,147415620
271218076,271218077
155619100,257857050
184886563,184886564
55809297,57902396
184466860,184466861
68561288,68561289
72882553,72882555
57870426,57870427
138143167,138488350
27605626,79561021
155618879,204218346
138143167,138488350
90135265,90135266
110694737,113084066
206479088,206479089
10095276,10095277
147415616,147415620
155619100,257857050
184886563,184886564
27605626,79561021
183930334,184247741
55809297,57902396
68561288,68561289
7718737,7718738
100125915,100125919
178785813,178785814
118582480,212567280
44433397,44433399
1008787,35170704
270236614,270236615
92551416,249349033
3737963,3738175
100289392,100289393
70529836,72635807
100131498,100131504
48659055,48659056
100382944,193159537
160309632,160309633
202622112,202622113
5067169,5411143
92551426,133933077
5412667,35231088
153045613,157161222
113530805,113530807
3123889,55957375
74362886,145630374
184235149,184235150
104741661,104741664
51198546,55773773
206145323,206145324
179437002,179437003
184466860,184466861
197667534,197667535
172936678,172936679
10189256,55665949
105483727,105483803
214755808,214755809
102140179,141490066
197628882,197628883
121635152,121635153
272365191,272947350
262871303,262871304
72300125,72300126
181453862,181453870
272255869,272255870
56753902,57400396
273098794,273098795
274550686,274550687
92551741,199039733
183337083,183337084
272238438,272238439
92004143,98576520
215079313,215079314
102140296,141490140
36023701,37943426
46772957,76596849
207566274,207566275
270437350,270437351
106150832,106150833
92551613,136921389
137369242,137369243
102140610,141490156
181224773,181224776
106362188,146205920
210766072,219147764
94385324,94385325
102074792,102074794
107428036,107428043
215080284,215080285
73345191,73345192
102075263,102075265
273242017,273242018
249176236,249176237
106362265,106362268
102140545,198119607
106362574,106362582
248947071,248947072
273385286,273385287
113498255,113498262
195286659,270273679
190455881,190755196
262687259,262687260
115254294,274045677
117315705,222423042
106362873,270443991
103474598,262694693
192779482,192779485
252011595,254037916
251394109,251394110
193413750,274141800
197841194,197841195
92552187,263074727
192158787,192158788
190589783,190589784
192862471,192862472
171126677,171126678
180581412,210136996
51132768,208119649
263562684,263562685
252186165,252186167
271423967,271423968
269978663,269978664
172377932,270796513
173402788,173402789
262068243,262068244
137484458,190842824
271828182,271828183
213705281,213705282
262871174,262871175
102141079,102141080
20532077,40724615
106362765,106362771
213857122,213857123
182104303,182104304
55591451,55719504
182295576,182295577
105366577,195996568
273962814,273962815
102075509,102075510
139235214,150528893
102075316,102075322
102502605,102502606
104268041,104268046
157073393,157073417
44607736,58150021
137409957,137409962
145130766,145130775
106362859,106362862
106362134,106362146
102140146,141490159
102032056,102032057
214755323,214755324
274163002,274163003
273506092,273506093
106362492,106362499
273204815,273204816
42843760,42843761
91984731,189588611
106362504,178788183
273101932,273101933
213705451,213705452
191809085,191809086
137430653,198671035
229726201,253181422
203227997,203227999
179059957,274574466
270302159,270302160
143144259,143144262
271396392,271396393
77231634,121227146
197165706,197165707
252566359,252566361
106362234,106362245
102140571,208210973
102140349,154228319
200765208,217887534
106362641,180575582
201431395,201842587
106362544,262687377
252566935,252566936
252566266,252566267
107428012,262036580
274327867,274327868
159824394,159824395
102075097,102075103
272449647,272449648
106362239,106362249
274612006,274612007
271472703,271472709
274742308,274742309
113498274,113498282
102552358,102552362
108716724,108716725
235552364,262075173
217539788,252679714
106362109,252892653
252846030,252846031
217772073,272198091
104268063,221826243
185821375,185821376
214828618,214828619
242443870,274339162
195702465,274659760
117064162,271288397
255299454,255299455
102140003,208121280
92552282,197412630
113526199,270100022
235650514,243093616
250232666,262790182
270794745,271313059
274567129,274567130
191820462,191820463
166037780,273356334
274692539,274692541
274692509,274692510
217649071,217649072
215223875,215223876
102075126,263604564
102140384,201941503
102075363,102075366
137504646,137504647
113526449,217639762
200774339,200774340
195471161,195471162
129138498,176635134
191740301,226246389
100384190,100384193
214595917,220883614
118419943,118419954
102075446,210754689
250079188,250079189
102140345,208105104
196389623,198867916
102140807,164160521
162865455,172271574
92551759,270796691
214823382,214823383
208195163,270797019
103474591,262694863
137941331,196791157
143144329,250477376
132303104,274464163
274365670,274365671
273883016,273883017
200765285,217887520
106362650,262687362
252566331,252566332
272526492,274399705
208555188,261840585
95497508,214183719
100383005,100383011
273696137,273696138
107428865,107428866
136597785,248853173
249966735,249966736
214823469,214823470
102140356,102140360
193686922,253767013
103474599,262694966
113528588,113528600
271356539,271356540
262681170,270206464
274709445,274709446
106362563,180509334
42550426,42550427
102140639,270255580
142006426,240441475
124892963,274380446
274668349,274668350
77222418,77222443
274325653,274325654
102140913,102140914
102140775,201476215
127591624,195670737
106362367,106362371
14683311,198326096
137430447,242637035
92552088,197412940
101933720,114894765
200559997,253444310
101931938,114700829
102141081,197629755
273231828,273231829
252079618,252079620
137452830,262679226
273459374,273459375
106362205,106362208
102140123,202000884
102075341,102075346
216353961,216353962
222714029,263303169
216354020,216354021
102140529,205897868
137941385,253322883
113498312,113498316
102140460,215901834
137502219,137502220
242101974,270749630
217385601,272284812
102140076,213876246
137440662,197798763
120183718,242650727
106362420,262812690
242492714,273596231
215748950,249258805
102140665,208105177
92552215,197630701
252636633,252636634
93166345,273383631
101933383,273313206
229698517,229698518
102075195,102075197
120183162,274532036
273658158,273658159
113498216,113498222
273962941,273962942
106362537,106362539
115254378,115254383
248947073,248947074
205379766,205379767
163831425,243112285
197545076,197545077
106362477,106362488
113498256,113498263
117926926,142044093
106362140,248641458
106362556,251928266
271479995,271479996
274365675,274365676
101931325,197603848
271434802,271434803
106362679,106362686
100384062,100384068
253265149,253265150
202242110,274047668
195666768,195666769
127032377,195988735
195670765,195670766
106362203,177840265
127692517,172445172
202961401,202961402
200766557,200766558
102140567,102140570
102140861,161974200
274814122,274814123
106362675,106362683
229725647,253181443
262681449,262681450
128711666,128711671
274169513,274169514
274365641,274365642
195287258,195287259
243223106,263030422
274327691,274327692
32586907,32586908
167686935,205010649
195289164,195289165
92551340,179800338
92010830,92010861
193564640,193564641
274556099,274556100
102140287,208270265
172476228,243112165
202216703,202216704
77220977,203222202
102139989,270257450
213964792,213964793
106362298,106362304
194583855,194583856
113498214,263604575
106362236,106362247
92010866,92010869
113527267,113527281
102075158,102075160
215383379,215383380
198894827,200765326
198902035,200765312
198897908,200765340
198817285,270245093
252854660,257772680
102140937,197522992
179941662,179941663
274366655,274366656
138536567,138536568
174036145,174036146
214823463,215476329
102140993,201345635
132302851,217641863
102552355,102552361
225961346,242616159
106362657,106362660
106362684,274364383
106362832,179029872
201476018,208528142
217386322,262061171
106362583,274531375
137414453,180575575
251446755,251446756
193625549,194133893
137499103,263073416
127032190,127032194
197638141,197638142
215615582,215615583
106150856,106150857
92010727,92010740
274163240,274163241
181224579,181224582
274692611,274692612
270991834,270991836
102075338,102075344
201630661,201630662
102140596,205967022
209377839,262799278
115254319,115660587
106362743,221826313
197547677,270242539
120183153,274532975
263751744,274360342
181453845,181453847
92552608,197412731
187012149,274750561
31205943,197411381
137941524,261810687
155619326,270743840
252641874,252641875
208061971,208061972
137429963,204988647
113498245,113498249
92551578,270647208
106362552,106362567
92551739,270796579
160216998,160834826
273505550,273505551
272152096,272152097
247814591,261990023
199006637,199078107
113117525,113117527
272407577,272407578
214828054,214828055
271219955,271219956
249679554,270244783
115254496,273880134
273880803,273880804
197635408,197635409
214836173,214836174
115254449,120476188
270293938,274659725
198869812,201290444
142006331,240439554
197637313,197637314
214827010,214827011
168926045,251500798
113498241,113498244
181224930,181224931
274742318,274742326
271355298,271355304
113498269,113498276
250079992,250079993
262081094,263021965
137503427,160357776
137439967,249675806
249084969,249084970
137430445,252906254
201419861,208644267
225272510,273915559
106362227,274364377
91986129,181057641
216288896,262915780
247402468,261835143
106362512,274531363
137260063,221826261
193050652,230013101
100384213,197616492
274352117,274352118
127032268,262038689
101933748,164335677
137567575,274774801
92551318,92551320
255298731,255298732
274330009,274330010
214595628,220824955
115254265,115254271
217383045,217385192
271328309,271328310
101931818,249694544
102074843,166051826
102140684,190181942
137941277,137941283
273825934,273825935
159813768,160834872
102074949,102074952
270510414,270510415
274795318,274795319
188008638,273880961
272620215,272620216
274325779,274325780
102140065,102140070
201034654,262799279
250003340,270439367
92010882,262686922
214823265,214823266
102140649,201944755
106362474,177897782
106362840,177858619
77230805,208119606
102108292,272441734
191477201,192121309
274365619,274365620
163831342,163831344
174491337,262663514
194958478,252125877
274327859,274327860
109109573,188716575
249596467,261989713
124893056,143614331
196152623,197165684
274672846,274672847
102140373,163569699
274667336,274667337
143916814,143916839
137430423,137430424
208555407,215451097
92010567,146209176
273101203,273101204
250059539,251446647
127692347,172449252
109861915,176811079
89205994,273318876
77231543,201494649
102075153,102075159
77222782,206311087
252566482,252566483
274506557,274506558
132304464,274531963
143144221,143144230
156290134,157203060
124685418,124685419
102140583,201153215
230086054,263686417
214828163,214828165
272617671,272656893
271364381,271364382
102140030,208188740
106362581,146210228
188282978,200013365
101931930,202960864
214655697,272198087
248893418,248893419
197546354,274525188
137432376,172360737
92552594,197412752
101933179,115009282
155618776,155618783
193736274,273243142
106150838,106150839
106362224,106362231
127033173,273290382
127591403,127591411
106362542,119446074
241773344,241773346
249869363,249955928
106362692,213846684
116120077,121227639
271086338,271086339
213999950,213999951
179718016,179718017
249766834,249766835
252602482,252602483
137941489,137941496
102140138,102140142
263808394,263808395
106362540,189585578
106362850,106362852
102075257,166038550
102108358,262782641
272416156,272416157
193570217,215383382
102108313,249258817
143144195,143144201
106362498,121249911
